,output_56_r1_avg_train_loss,output_56_r1_train_accuracy,output_56_r1_avg_valid_loss,output_56_r1_valid_accuracy,output_56_r4_avg_train_loss,output_56_r4_train_accuracy,output_56_r4_avg_valid_loss,output_56_r4_valid_accuracy,output_56_r10_avg_train_loss,output_56_r10_train_accuracy,output_56_r10_avg_valid_loss,output_56_r10_valid_accuracy,output_56_r100_avg_train_loss,output_56_r100_train_accuracy,output_56_r100_avg_valid_loss,output_56_r100_valid_accuracy,output_28_r1_avg_train_loss,output_28_r1_train_accuracy,output_28_r1_avg_valid_loss,output_28_r1_valid_accuracy,output_28_r4_avg_train_loss,output_28_r4_train_accuracy,output_28_r4_avg_valid_loss,output_28_r4_valid_accuracy,output_28_r10_avg_train_loss,output_28_r10_train_accuracy,output_28_r10_avg_valid_loss,output_28_r10_valid_accuracy,output_28_r100_avg_train_loss,output_28_r100_train_accuracy,output_28_r100_avg_valid_loss,output_28_r100_valid_accuracy,output_14_r1_avg_train_loss,output_14_r1_train_accuracy,output_14_r1_avg_valid_loss,output_14_r1_valid_accuracy,output_14_r4_avg_train_loss,output_14_r4_train_accuracy,output_14_r4_avg_valid_loss,output_14_r4_valid_accuracy,output_14_r10_avg_train_loss,output_14_r10_train_accuracy,output_14_r10_avg_valid_loss,output_14_r10_valid_accuracy,output_14_r100_avg_train_loss,output_14_r100_train_accuracy,output_14_r100_avg_valid_loss,output_14_r100_valid_accuracy,output_7_r1_avg_train_loss,output_7_r1_train_accuracy,output_7_r1_avg_valid_loss,output_7_r1_valid_accuracy,output_7_r4_avg_train_loss,output_7_r4_train_accuracy,output_7_r4_avg_valid_loss,output_7_r4_valid_accuracy,output_7_r10_avg_train_loss,output_7_r10_train_accuracy,output_7_r10_avg_valid_loss,output_7_r10_valid_accuracy,output_7_r100_avg_train_loss,output_7_r100_train_accuracy,output_7_r100_avg_valid_loss,output_7_r100_valid_accuracy
0,1.741183281,86.22333333,2.657938957,98.73,2.907036781,32.55333333,2.867748976,91.78,2.782459736,40.25,2.833632708,94.24,5.758514404,9.333333333,4.624576092,9.78,1.655956507,78.74833333,3.632062197,98.42,3.204321384,18.9,3.290548801,61.49,2.976113558,25.23333333,3.349276066,74.46,5.033553123,9.5,4.123227119,9.78,2.081678152,66.16833333,3.540750027,94.95,2.923210144,21.52,3.160391331,45.84,3.140413284,13.9,2.777112007,32.62,5.863527298,8.833333333,4.770691395,9.79,2.372186184,28.02666667,2.88544035,48.49,2.977390289,9.953333333,2.435691357,9.77,3.000594139,10.85,2.443469524,13.35,4.559893131,9.166666667,4.255381107,9.78
1,0.933929205,98.585,2.599258184,99,1.406615973,96.2,2.764134407,97.41,1.326025248,95.31666667,2.633883715,96.75,4.176339626,9.5,3.842132568,9.75,1.141244888,98.515,3.706315756,98.89,1.581276059,90.79333333,3.681164503,97.16,1.53003633,91.2,3.575325251,96.52,3.734145403,9.833333333,3.505845308,9.79,1.273564458,95.585,3.642644405,96.38,1.746720433,75.45333333,3.575635195,91.37,1.856741667,62.38333333,3.426912308,86.15,3.849816561,9.166666667,3.092939854,9.78,1.723927259,68.68833333,3.153065681,73.89,2.35008049,10.44666667,2.356188297,9.78,2.289224863,18.76666667,2.58124733,20.94,3.863161802,9.666666667,3.123457432,9.79
2,0.808758616,99.03666667,2.571938038,98.98,1.158035994,98.08666667,2.663183689,98.14,1.112270713,97.08333333,2.600090504,97.78,3.192061663,20,3.266772509,26.94,1.054621339,98.975,3.716491461,99.19,1.313682795,97.4,3.66932416,97.95,1.313585162,96.48333333,3.676426888,97.21,3.122540712,9.833333333,3.06909132,9.8,1.1689744,96.555,3.658320665,97.32,1.431548357,91.06,3.610980749,93.77,1.532115579,89.23333333,3.572453976,92.86,2.984822512,9.5,2.970872402,9.79,1.596654773,77.42833333,3.202107906,78.25,2.221715212,14.49333333,2.5807693,26.84,2.080677509,28.25,2.812553406,42.76,3.052397728,9.833333333,2.832170486,9.77
3,0.751556396,99.27333333,2.523581505,99.12,1.04341507,98.65333333,2.649953127,97.95,1.003870964,98.3,2.601023674,97.94,2.673281908,34,3.272413969,46.9,1.009508133,99.11333333,3.736350536,99.07,1.225208879,98.36666667,3.718101025,97.8,1.233712912,97.8,3.66474843,97.27,2.79015851,10.5,3.020068169,17.58,1.125487566,96.87,3.690986872,97.71,1.318939567,94.20666667,3.656612635,94.54,1.417112947,91.68333333,3.516967535,93.51,2.798164368,9.833333333,2.858455896,9.79,1.549953222,79.40666667,3.237838268,80.65,1.9775213,45.14666667,2.943632603,55.86,1.918180346,47.6,2.971795082,54.95,2.778918743,9.666666667,2.767313719,9.75
4,0.723201931,99.315,2.507210732,98.91,0.958092332,98.91333333,2.647197723,98.64,0.940080643,99,2.577616692,98.04,2.389575481,62.16666667,3.047978878,80.05,0.980221212,99.30666667,3.738612652,99.25,1.173422694,98.63333333,3.752588272,98.36,1.180544972,98.3,3.642873287,97.78,2.563262224,25.33333333,3.125040531,30.8,1.089839578,97.26666667,3.686882973,97.2,1.27480793,94.72,3.620888472,94.09,1.358818412,93.3,3.576995611,93.96,2.745593309,10,2.835758448,9.78,1.517883778,80.83833333,3.305914402,81.85,1.803014517,61.8,3.033679008,64.76,1.853928566,54.66666667,3.012125015,60.1,2.68405652,9.333333333,2.627559662,9.79
5,0.696506381,99.45166667,2.577770472,99.11,0.904776514,99.20666667,2.617642879,98.65,0.893438756,99.06666667,2.604504347,98.16,2.190736055,83.66666667,3.034265518,89.82,0.969079554,99.35,3.76784277,99.19,1.129189134,98.91333333,3.756830454,98.64,1.136681914,98.86666667,3.707731247,97.74,2.332862854,35,3.112007618,41.28,1.077258945,97.42166667,3.685162306,97.31,1.235521317,95.48666667,3.677919149,95.99,1.300738811,94.06666667,3.601807117,94.77,2.576614141,10.33333333,2.723612785,9.75,1.502336144,81.57166667,3.242295027,81.46,1.735291958,71.39333333,3.104131222,75,1.798500299,57.96666667,2.949379206,61.87,2.569865465,9.166666667,2.53052783,9.77
6,0.673743308,99.505,2.558404922,99.24,0.862351537,99.42,2.557900429,98.74,0.855522037,99.33333333,2.587571144,98.35,1.962863922,89.33333333,3.087819576,91.48,0.957651496,99.42166667,3.755197763,99.25,1.097277164,99.06,3.725909472,98.53,1.099556684,99.23333333,3.728027105,98.33,2.117825985,45.33333333,3.08019352,51.89,1.062366128,97.53333333,3.691721678,97.38,1.206680298,95.81333333,3.651515484,96.52,1.281694293,94.53333333,3.598942041,94.56,2.471203327,17,2.935315371,26.28,1.492725372,81.43666667,3.285409451,83.79,1.68293035,73.83333333,3.115726471,74.8,1.751250267,61.85,3.053239584,65.19,2.488003969,9.666666667,2.543673038,9.79
7,0.663052976,99.60666667,2.56556344,99.14,0.827029824,99.55333333,2.590394974,98.73,0.825936794,99.43333333,2.595745325,98.34,1.768546462,92,3.13126111,93.12,0.953041375,99.44833333,3.720500946,99.28,1.066609979,99.38,3.736254692,98.73,1.073520064,99.3,3.742653608,98.42,1.988919139,72.83333333,3.413801193,82.48,1.050955653,97.60833333,3.713231802,98.02,1.178207874,96.4,3.663668871,96.73,1.252181053,95.15,3.659418344,95.64,2.365981579,28.16666667,2.636443377,10,1.486315727,82.05,3.252215147,82.52,1.647541881,75.68,3.031324863,73.99,1.716792226,63.73333333,3.076117754,66.46,2.444763422,9.666666667,2.443105936,9.77
8,0.654248953,99.60666667,2.554346085,99.17,0.796863437,99.65333333,2.588711739,98.64,0.796923578,99.56666667,2.574500561,98.36,1.637624145,93.83333333,2.989259481,93.88,0.950394809,99.49333333,3.769730806,99.05,1.042948127,99.46,3.746804714,98.65,1.051540017,99.43333333,3.745565176,98.24,1.785351276,85,3.628356695,91,1.045867682,97.66333333,3.701896191,97.93,1.166740298,96.43333333,3.655571222,96.65,1.233523846,95.43333333,3.67261529,94.35,2.408782959,9.833333333,2.607581615,12.9,1.474895597,82.49333333,3.275171995,84.31,1.613781691,76.62,3.172551632,78.37,1.674262643,67.91666667,3.124181986,70.71,2.388545036,9.5,2.412318707,9.78
9,0.64848268,99.605,2.554025888,99.3,0.779271483,99.68666667,2.543339252,98.6,0.773152351,99.66666667,2.538970709,98.34,1.527057409,95.16666667,3.010826588,94.78,0.946640313,99.58333333,3.784860849,99.16,1.022045851,99.54,3.757293701,98.67,1.035472512,99.35,3.763028622,98.43,1.628647923,90.33333333,3.62492919,92.37,1.042989969,97.63333333,3.728370905,98.15,1.147457719,96.66666667,3.622247934,96.84,1.203841567,95.9,3.665573835,95.92,2.386822224,14.5,2.566367865,15.61,1.469355941,82.63666667,3.287797213,84.35,1.591171384,78.24666667,3.172880888,79.58,1.675866008,71.65,3.134985924,74.86,2.349369764,9.833333333,2.432736158,9.79
